1000380	1010402
1000380	1144142
1000380	1371600
1000380	1572412
1000380	607188
1000380	760592
100068	1241736
100068	1355519
100068	1774699
100068	356878
100068	741918
100068	884954
1001279	1010402
1001279	1356872
1001279	1447561
1001279	2172555
1001279	247619
1001279	734151
1001279	747836
1001279	800324
1001279	885540
1001797	1565412
1001797	1609892
1001797	1774907
1001797	1919757
1001797	2105692
1001797	2335867
1001797	2355591
1001797	572464
1001797	719053
1001797	749005
1005445	1010402
1005445	1284785
1005445	1440812
1005445	1466455
1005445	700680
1005445	945427
1006132	1010402
1006132	1157441
1006132	692272
1006336	1010402
1006336	1138744
1006336	1561565
1006336	1744680
1006336	2263173
100674	1356872
100674	1447561
100674	1520393
100674	1644758
100674	2246515
100674	734151
100674	885540
1008033	114897
1008033	1218100
1008033	1226513
1008033	1436477
1008033	1792221
1008033	1829731
1008033	2058246
1008033	2232938
1008033	2411328
1008033	687148
1008033	962397
1008621	1010402
1008621	1354777
1008621	214271
1008621	2335867
1008621	748203
1008708	1093137
1008708	1226219
1008708	741918
1008708	763071
1010402	733758
1010814	1543014
1010814	1717897
1010814	2361882
1011400	1010402
1011400	1241736
1011400	1355519
1011400	1375311
1011400	1440812
1011400	1561565
1011400	1774699
1011400	2105459
1011400	340334
1011400	595103
1011400	682275
1011400	741918
1011400	763071
1011400	884954
1013800	1010402
1013800	1157441
1013800	1561565
1013800	2097881
1013800	2105684
1013800	645993
1013800	903209
101548	1045582
101548	1422169
101548	1565811
101548	1654889
101548	1727213
101548	1841249
101548	1952286
101548	1995914
101548	388362
101548	430606
101548	450311
101548	612499
101548	986766
1016378	1094503
1016378	1354777
1016378	2105692
1018172	1900656
1018172	612499
1018172	698924
1018172	731752
1018172	763071
1019216	760690
1019216	805004
1019712	1045582
1019712	1355519
1019712	1844538
1019712	2335867
1019712	388362
1019712	741918
1023977	1282340
1023977	1838534
1023977	2007130
1025882	1010402
1025882	1561565
1025882	2026007
1025882	494293
1025882	707506
102635	1010402
102635	1356872
102635	1436477
102635	1440812
102635	661888
102635	710006
102635	852693
1026360	1356872
1026360	1436477
1026360	461808
1026360	661888
1026360	710006
1026540	1010402
1029238	1241736
1029238	1964087
1029238	592830
1029366	1010402
1029366	1422169
1029366	1565811
1029366	1698469
1029366	1727213
1029366	183085
1029366	1995914
1029366	664583
1029366	825426
1029366	986766
103187	1010402
103187	1443786
103187	1690614
1034851	1045582
1034851	1356872
1034851	1447561
1034851	2172555
1034851	388362
1034851	734151
1034851	885540
1035621	1353004
1035621	1504451
1035621	1990355
1035621	2218702
1035621	556538
1035621	741918
1040311	1010402
1040311	726590
1042166	1010402
1042166	1241736
1042166	1355519
1042166	1356872
1042166	1375311
1042166	1774746
1042166	2105459
1042166	340334
1042166	461808
1042166	661888
1042166	710006
1042166	747836
1042166	986766
1042166	992587
1043818	1010402
1043818	1045582
1043818	2246515
1043818	388362
1043818	710006
1043818	748203
1045582	1241736
1045582	1355519
1045582	1413254
1046674	1010402
1046674	1457395
1046674	1774907
1046674	1871987
1046674	1958070
1046674	230043
1046674	731706
1049387	1891552
1049387	1958070
1049387	2277351
1049387	986766
1053142	139809
1053142	1774907
1053142	1869154
1053142	340334
1053142	461808
1053142	569131
1055296	1010402
1055296	1847813
1055296	1885992
105629	1241736
105629	1355519
105629	1436477
105629	340334
105629	710006
1056617	1064931
1056617	1514544
1056617	1561565
1056617	1833915
1056617	2079748
1056617	2219966
1056617	2298697
1059410	1356872
1059410	1436477
1059410	661888
1059410	710006
1059410	852693
106124	1045582
106124	1774699
106124	2143458
106124	388362
106124	552389
1061606	139809
1061606	1561565
1061606	1571790
1061606	2097881
1061606	2105684
1061606	597962
1061606	664583
1061606	800324
1063071	1010402
1063071	1742028
1063071	1857599
1063071	230043
1063071	741918
1063516	1074120
1063516	1220355
1063516	1265831
1063516	664945
106381	1010402
106381	1443870
106381	733758
106381	910251
106418	1241736
106418	1355519
106418	1457395
106418	747836
106418	852693
1064931	1056617
1064931	1478521
1064931	1746332
1064931	1833915
1064931	606540
1066028	1294767
1066028	1461151
1066028	1472318
1066028	1858495
1066028	1928676
1066028	704063
1066769	1010402
1066769	1218100
1066769	1561565
1066769	1585289
1066769	2363007
1070369	1010402
1070369	1355519
1070369	1561565
1070369	2105459
1071058	2105684
107322	1010402
107322	1356872
107322	340334
107322	734151
107322	885540
107322	986766
1073482	1582332
1073482	1681420
1073482	1762105
1073482	1782643
1073482	1858495
1073482	1976729
1073482	2123472
1073482	2265802
1073482	267262
1073482	760690
1074120	1063516
1074120	1136549
1074120	1168996
1074120	1788498
1074120	1847813
1074120	2045377
1074120	2333271
1074120	2355591
1074120	339869
1074120	586571
1074120	605336
1074120	760592
1074312	102717
1074312	1300893
1074312	1443786
1074312	1565811
1074312	1774995
1074312	723215
1074312	986766
1075396	1010402
1075396	140690
1075396	1440812
1075396	1644758
1075396	1653675
1075396	1891542
1075396	1958070
1075396	230043
1075396	495643
1075396	595103
1075396	682275
1075658	1010402
1075658	1311310
1075658	747836
1076768	2326278
1078852	1010402
1078852	1354777
1078852	1520393
1078852	1561565
1078852	1806862
1078852	230043
1081950	1260659
1081950	1457395
1081950	1869154
1081950	461808
1081950	490783
1082259	1010402
1082259	1355519
1082259	1466455
1082259	1520393
1082259	1561565
1082259	1885912
1082259	2228259
1082259	340334
1082259	709828
1085062	1188595
1085062	1289982
1085062	2246515
1085062	2335867
1085062	697078
1085062	795286
108595	1010402
108595	1211049
108595	1226513
108595	2363007
108595	373216
108595	741030
1088166	1683282
1088563	1144142
1088563	1371600
1088563	151803
1088563	1897859
1088563	1951959
1088563	1992528
1088563	2246515
1088563	726590
1088563	997213
108957	1561565
108957	578174
108957	823793
108957	914835
1090568	1010402
1090568	1241736
1090568	1355519
1090568	2335867
1090568	340334
1090568	526808
1090568	552389
1093137	1010402
1093137	1561565
1093890	1010402
1093890	340861
1093890	682275
1093890	728726
1094135	1188595
1094135	1329186
1094135	1437272
1094135	1466455
1094135	1699459
1094135	697078
1094135	700680
1094135	747836
1094135	760592
1094135	795286
1094135	918251
1094503	1016378
1094503	1422169
1094503	1995914
1094503	825426
1096999	1010402
1096999	1076768
1096999	1180050
1096999	1561565
1096999	2016807
1096999	2105684
1097299	1010402
1097299	1269723
1097299	1561565
1097299	1769429
1097299	495643
1097299	637427
1098265	1010402
1098265	1356872
1098265	1436477
1098265	461808
1098265	661888
1098265	710006
1098265	852693
1099038	1443786
1099038	1702309
1099038	723215
1099038	747836
1099038	986766
1100885	1654561
1100885	1870016
1100885	2220227
1100885	2361882
1101213	1010402
1101213	1314645
1101213	1638082
1101213	2295458
1101213	355744
1102603	1010402
1102603	1354777
1102603	1356872
1102603	1561565
1102603	461808
1102603	661888
1106352	1010402
1106352	1443786
1106352	1561565
1106352	1601670
1106352	2361882
1106352	356878
1106352	884954
1106871	1008033
1106871	1010402
1106871	2361882
1106871	760592
1106871	986766
1108032	1045582
1108032	1144142
1108032	1355519
1108032	1371600
1108032	1561565
1108032	2105684
1108032	388362
1108032	747836
1108032	760592
1108611	1144142
1108611	1371600
1108611	1436477
1108611	2246515
1108611	741918
1108891	1010402
1108891	1372917
1108891	1669111
1113327	100090
1113327	1010402
1113327	1290941
1113327	1355519
1113327	1885912
1113327	2246515
1113327	747836
1113327	760592
1113493	1045582
