1203740	1386531	-1
1203740	1760402	-1
1203740	665576	-1
882566	1774797	-1
882566	1774925	-1
882566	713233	-1
1203740	1260296	1
1203740	1774412	1
1203740	372259	1
494293	1760399	-1
494293	1774503	-1
494293	1774797	-1
1556250	1638658	1
1556250	1774601	1
1556250	725387	1
494293	1774925	-1
494293	1774967	-1
494293	1774969	-1
774129	1760344	-1
774129	1774456	-1
774129	1774796	-1
774129	1760344	-1
774129	2076876	-1
774129	725387	-1
774129	1774793	-1
774129	506181	-1
774129	725379	-1
984435	1775014	-1
984435	1775044	-1
984435	2188303	-1
494293	1606515	-1
494293	1774550	-1
494293	1775042	-1
741918	1532211	-1
741918	2105630	-1
741918	594401	-1
741918	1356507	-1
741918	624922	-1
741918	725183	-1
1279793	1774848	-1
1279793	2105482	-1
1279793	2105489	-1
494293	1760423	-1
494293	1774511	-1
494293	2013565	-1
1279793	1606574	-1
1279793	2105489	-1
1279793	2105514	-1
1279793	1775042	-1
1279793	338764	-1
1279793	627961	-1
494293	1774796	-1
494293	2420902	-1
494293	930749	-1
1655803	1760403	-1
1655803	1774505	-1
1655803	1774509	-1
494293	1774595	-1
494293	1774848	-1
494293	1774925	-1
2311184	157971	-1
2311184	1774614	1
2311184	763886	1
494293	1760377	-1
494293	1760399	-1
494293	461710	-1
1108611	1774520	-1
1108611	1774539	-1
1108611	2012081	-1
1108611	1638658	-1
1108611	1760642	-1
1108611	1774925	-1
1108611	1606515	-1
1108611	1760422	-1
1108611	2076876	-1
1108611	1494039	-1
1108611	2076876	-1
1108611	2105468	-1
1108611	1774925	-1
1108611	1774967	-1
1108611	574645	-1
1108611	1356507	-1
1108611	1760326	-1
1108611	2105468	-1
1108611	1606525	-1
1108611	2105468	-1
1108611	552675	-1
1108611	1023543	-1
1108611	1774540	-1
1108611	2012081	-1
995416	1774502	-1
995416	1774822	-1
995416	1774925	-1
494293	2393452	-1
494293	594200	-1
494293	927000	-1
1108611	1259766	1
1108611	1774967	-1
1108611	218438	-1
1108611	1774967	-1
1108611	684037	-1
1108611	724706	-1
1108611	1774504	-1
1108611	1774967	-1
1108611	1775042	-1
1188595	1774503	-1
1188595	2393452	-1
1188595	694649	-1
1188595	172508	-1
1188595	1774503	-1
1188595	1774687	-1
1188595	1760396	-1
1188595	1774461	-1
1188595	1928655	-1
1912840	1638658	1
1912840	461710	1
1912840	725387	1
1912840	462104	-1
1912840	513098	-1
1912840	725379	-1
1912840	1231352	-1
1912840	1494039	-1
1912840	2008547	-1
1912840	1606472	-1
1912840	1774755	-1
1912840	572220	-1
1912840	1213266	-1
1912840	624922	-1
1912840	741681	-1
1912840	1760381	-1
1912840	1760403	-1
1912840	786313	-1
882566	1774797	-1
882566	428085	-1
882566	629574	-1
1188595	2105598	-1
1188595	218438	-1
1188595	424477	-1
1421433	1775006	-1
1421433	218438	-1
1421433	725387	-1
1421433	1774462	-1
1421433	1775006	-1
1421433	1775076	-1
1421433	1775024	1
1421433	561053	1
1421433	629574	1
1421433	1606608	-1
1421433	1760320	-1
1421433	623203	-1
1421433	1760403	-1
1421433	1928678	-1
1421433	754522	-1
1421433	1086517	-1
1421433	218438	-1
1421433	576379	-1
1421433	1928678	-1
1421433	594200	-1
1421433	723577	-1
984435	1774520	-1
984435	1774862	-1
984435	2105502	-1
984435	1774452	1
984435	1774862	-1
984435	725387	-1
984435	1760396	-1
984435	1774969	-1
984435	300076	-1
984435	1494039	-1
984435	1775044	-1
984435	592273	-1
226103	1774684	-1
226103	1774797	-1
226103	218438	-1
1226219	1774616	1
1226219	1774797	1
1226219	2012081	-1
